"Hazel Eyes"
"Blue Eyes"
"Brown Eyes"
"Green Eyes"
"Grey Eyes"
"Yellow Eyes"
"Gold Eyes"
"Red Eyes"
"Black Eyeballs"
"Amber Eyes"
"Variable Eyes"
"Black Eyes"
"White Eyes"
"Orange Eyes"
"Silver Eyes"
"Purple Eyes"
"Pink Eyes"
"One Eye"
"Violet Eyes"
"Multiple Eyes"
"Magenta Eyes"
"Yellow Eyeballs"
"No Eyes"
"Compound Eyes"
